club,last_name,first_name,position,base_salary,guaranteed_compensation,
MNUFC,Shuttleworth,Bobby,GK,155000,171875,Bobby Shuttleworth
MNUFC,Taylor,Jermaine,D,125004,135004,Jermaine Taylor
MNUFC,Thiesson,Jerome,D,171000,210166.67,Jerome Thiesson
MNUFC,Venegas,Johan,M,215000,227500,Johan Venegas
MNUFC,Venegas,Kevin,D,85000,88333.33,Kevin Venegas
MNUFC,Warner,Collen,M,230004,230004,Collen Warner
MTL,Arregui,Adrian,M,240000,290976.67,Adrian Arregui
MTL,Beland Goyette,Louis,M,53000,54250,Louis Beland Goyette
MTL,Bernardello,Hernan,M,288000,288000,Hernan Bernardello
MTL,Bernier,Patrice,M,165000,165000,Patrice Bernier
MTL,Bitolo,Ambroise,D,100000,100000,Ambroise Bitolo
MTL,Bush,Evan,GK,136750,136750,Evan Bush
MTL,Cabrera,Victor,D,260000,260000,Victor Cabrera
MTL,Camara,Hassoun,D,255000,255000,Hassoun Camara
MTL,Choiniere,David,M,54075,54075,David Choiniere
MTL,Ciman,Laurent,D,630000,661666.67,Laurent Ciman
MTL,Crepeau,Maxime,GK,75000,79083.33,Maxime Crepeau
MTL,Depuy,Nick,F,65000.04,72500.04,Nick Depuy
MTL,Donadel,Marco,M,349992,386658.67,Marco Donadel
MTL,Duvall,Chris,D,70875,70875,Chris Duvall
MTL,Fisher,Kyle,D,53004,53004,Kyle Fisher
MTL,Jackson-Hamel,Anthony,F,66150,66150,Anthony Jackson-Hamel
MTL,Kronberg,Eric,GK,99999.96,104999.96,Eric Kronberg
MTL,Lefevre,Wandrille,D,94999.92,104499.92,Wandrille Lefevre
MTL,Lovitz,Daniel,M,78750,78750,Daniel Lovitz
MTL,Mallace,Calum,M,115000,131250,Calum Mallace
MTL,Mancosu,Matteo,F,700000.08,719541.75,Matteo Mancosu
MTL,Oduro,Dominic,F,330000,330000,Dominic Oduro
MTL,Piatti,Ignacio,M,450000,450000,Ignacio Piatti
MTL,Romero,Andres,M,120000,120000,Andres Romero
MTL,Salazar,Michael,F,54075,54075,Michael Salazar
MTL,Shome,Shamit,M,100000.08,128500.08,Shamit Shome
MTL,Tabla,Ballou Jean-Yves,M,70000,78999.8,Ballou Jean-Yves Tabla
NE,Agudelo,Juan,F,475000,502500,Juan Agudelo
NE,Angoua,Benjamin,D,600000,654333.33,Benjamin Angoua
NE,Bunbury,Teal,F,215000,260000,Teal Bunbury
NE,Caldwell,Scott,M,115000,125000,Scott Caldwell
NE,Cropper,Cody,F,65625,65625,Cody Cropper
NE,Fagundez,Diego,M,160000,180000,Diego Fagundez
NE,Farrell,Andrew,D,182600,263600,Andrew Farrell
NE,Herivaux,Zachary,M,65625,65625,Zachary Herivaux
NE,Hollinger-Janzen,Femi,F,54075,54075,Femi Hollinger-Janzen
NE,Kamara,Kei,F,800000,800000,Kei Kamara
NE,Knighton,Brad,GK,100910.25,100910.25,Brad Knighton
NE,Kobayashi,Daigo,M,69996,76996,Daigo Kobayashi
NE,Kouassi,Xavier,M,840000,890541.75,Xavier Kouassi
NE,Mlinar Delamea,Antonio,D,400008,400008,Antonio Mlinar Delamea
NE,Nguyen,Lee,M,500000,500000,Lee Nguyen
NE,Rowe,Kelyn,M,165000,230000,Kelyn Rowe
NE,Smith,Donnie,M,66150,66150,Donnie Smith
NE,Smith,Joshua,D,53004,53004,Joshua Smith
NE,Tierney,Chris,D-M,140000,148333.33,Chris Tierney
NE,Turner,Matt,GK,54075,54075,Matt Turner
NE,Watson,Je-Vaughn,D-M,150000,155666.67,Je-Vaughn Watson
NE,Woodberry,London,D,69300,69300,London Woodberry
NE,Wright,Brian,F,65625,84375,Brian Wright
NYCFC,Allen,RJ,D,100000.08,101666.75,RJ Allen
NYCFC,Awuah,Kwame,D-M,53004,53004,Kwame Awuah
NYCFC,Brilliant,Frederic,D,280000,319666.67,Frederic Brilliant
NYCFC,Callens,Alexander,D,180000,180000,Alexander Callens
NYCFC,Camargo,Miguel,M,99999.96,108249.96,Miguel Camargo
NYCFC,Chanot,Maxime,D,350000,383000,Maxime Chanot
NYCFC,Diskerud,Mix,M,772669,772669,Mix Diskerud
NYCFC,Gomez,Shannon,D,54075,54075,Shannon Gomez
NYCFC,Harrison,Jack,M,130000,165500,Jack Harrison
NYCFC,Herrera,Yangel,M,123557.04,123557.04,Yangel Herrera
NYCFC,Johansen,Eirik,GK,65625,65625,Eirik Johansen
NYCFC,Johnson,Sean,GK,220008,220008,Sean Johnson
NYCFC,Lewis,Jonathan,F,80000.04,115500.04,Jonathan Lewis
NYCFC,Lopez,Mikey,M,75000,75000,Mikey Lopez
NYCFC,Matarrita,Ronald,D,175000,200000,Ronald Matarrita
NYCFC,McNamara,Thomas,M,185000.04,185000.04,Thomas McNamara
