club,last_name,first_name,position,base_salary,guaranteed_compensation,
TOR,Mavinga,Chris,D,265008,300691.6,Chris Mavinga
TOR,Moor,Drew,D,246750,261750,Drew Moor
TOR,Morgan,Ashtone,D,100008,101508,Ashtone Morgan
TOR,Morrow,Justin,D,210000,226666.67,Justin Morrow
TOR,Osorio,Jonathan,M,191762.5,200237.13,Jonathan Osorio
TOR,Pais,Mark,GK,65004,65004,Mark Pais
TOR,Ricketts,Tosaint,F,180000,193166.67,Tosaint Ricketts
TOR,Vazquez,Victor,M,630000,700000,Victor Vazquez
TOR,Zavaleta,Eriq,D,102850,133450,Eriq Zavaleta
VAN,Adekugbe,Samuel,D,80000,85000,Samuel Adekugbe
VAN,Bolanos,Christian,M,250000,253500,Christian Bolanos
VAN,Bustos,Marco,M,65625,70475,Marco Bustos
VAN,Davies,Alphonso,M,65000,65000,Alphonso Davies
VAN,de Jong,Marcel,D-M,140000,140000,Marcel de Jong
VAN,Dean,Christian,D,121000,202000,Christian Dean
VAN,Edgar,David,D,175000,183833.33,David Edgar
VAN,Flores,Deybi,M,66000,71885,Deybi Flores
VAN,Froese,Kianz,M,69300,73800,Kianz Froese
VAN,Greig,Kyle,F,65004,66849,Kyle Greig
VAN,Harvey,Jordan,D,180000,180000,Jordan Harvey
VAN,Hurtado,Erik,F/M,125000,131250,Erik Hurtado
VAN,Jacobson,Andrew,M,150000,175000,Andrew Jacobson
VAN,Laba,Matias,M,725000,885500,Matias Laba
VAN,Levis,Brett,D,65000,67500,Brett Levis
VAN,McKendry,Ben,M,65000,65000,Ben McKendry
VAN,Mezquida,Nicolas,M-F,120000,120000,Nicolas Mezquida
VAN,Montero,Fredy,F,1400000.04,1800000.04,Fredy Montero
VAN,Nerwinski,Jake,D,65004,65004,Jake Nerwinski
VAN,Ousted,David,GK,360000,378933.33,David Ousted
VAN,Parker,Tim,D,80850,99600,Tim Parker
VAN,Reyna,Yordy,M-F,440000.04,533700.04,Yordy Reyna
VAN,Richey,Spencer,GK,65004,65004,Spencer Richey
VAN,Rosales,Mauro,M,65004,65004,Mauro Rosales
VAN,Seiler,Cole,D,54075,54075,Cole Seiler
VAN,Shea,Brek,M-D,625000,670000,Brek Shea
VAN,Tchani,Tony,M,275000,308333.33,Tony Tchani
VAN,Techera,Cristian,M,352000,377000,Cristian Techera
VAN,Teibert,Russell,M,126500,194000,Russell Teibert
VAN,Tornaghi,Paolo,GK,80000,80000,Paolo Tornaghi
VAN,Waston,Kendall,D,350000,368125,Kendall Waston
VAN,Williams,Sheanon,D,175000,184000,Sheanon Williams
,Babouli,Mo,F,54075,54075,Mo Babouli
,Ramajo,David Mateos,D,420000,453333.33,David Mateos Ramajo
